program,course_ml,course_ir,course_stat,course_db,gender,chocolate_effect,birthday,num_neighbors,stand_up,money,random_number,bed_time,good_day1,good_day2
Econometrics and Operations Research,no,no,yes,no,male,neither,xx-xx-1995,3,no,10,8,00:02,Sports,Food
Econometrics and Operations Research,no,no,yes,no,male,neither,10-12-1995,8,no,0.25,123581321,23:45,Sports,Food
Business Analytics,yes,yes,yes,yes,male,slim,28-11-2018,8,no,0.9999987888,8,01:00,unknown,Food
Bioinformatics and Systems Biology,yes,no,yes,no,male,no idea,18-09-1991,6,no,1,8,00:00,Weather,Food
Econometrics and Operations Research,no,no,yes,no,male,neither,22-08-1995,4,no,100,3,23:30,Weather,Food
Computational Science,yes,no,yes,yes,male,neither,26-06-xxxx,5,no,0.25,9,01:00,Weather,Food
Computational Science,no,no,yes,yes,female,slim,05-08-1995,7,no,10,7,01:30,Weather,Food
Business Analytics,yes,no,yes,no,male,fat,29-07-xxxx,1,no,1,3,23:30,Weather,Food
Business Analytics,yes,no,yes,no,female,fat,24-11-1995,1,no,75,9,01:00,Weather,Food
Computational Science,yes,no,yes,no,male,neither,04-04-1990,8,no,0,4,11:49,Weather,Food
Computer Science,yes,yes,yes,yes,male,fat,05-04-1995,8,no,80,6,00:30,Weather,Food
Business Analytics,yes,yes,yes,yes,male,no idea,18-01-1997,5,unknown,100,7,00:30,Weather,Food
Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,16-10-xxxx,8,no,2,37,00:30,Weather,Food
Econometrics and Operations Research,no,yes,yes,no,male,fat,31-08-1994,1,no,100,8,12:00,Weather,Food
Artificial Intelligence,no,yes,yes,unknown,female,no idea,28-01-xxxx,1,no,1,7,23:03,Weather,Food
Mathematics,yes,no,yes,no,male,neither,17-06-xxxx,5,no,100,10,01:30,Work,Food
Finance,no,no,yes,no,male,neither,10-09-xxxx,8,no,5,6,00:30,Work,Food
Bioinformatics and Systems Biology,yes,yes,yes,yes,male,unknown,09-12-1994,2,no,0.3,1,02:00,Work,Food
Computational Science,no,no,yes,no,female,neither,03-11-xxxx,8,no,0.25,7,23:30,Work,Food
Artificial intelligence ,no,unknown,yes,unknown,female,neither,25-08-1996,0,no,1,3,00:00,Food,Free time
Business Analytics,yes,no,yes,no,male,fat,01-09-1994,3,yes,200,1,00:00,Food,Free time
Computer Science,no,no,yes,yes,female,no idea,12-10-1991,A lot ,no,100,3,03:00,Food,Free time
Drug Discovery and Safety,no,no,yes,no,male,fat,17-08-1994,4,no,100,unknown,09:00,Food,Free time
Finance,no,no,yes,no,male,fat,17-10-1992,1,no,0.25,7,00:30,Free time,Free time
Bioinformatics and Systems Biology,yes,yes,unknown,yes,male,slim,19-08-1993,7,no,0.3,5,02:00,Free time,Free time
Computational Science,yes,no,yes,no,male,no idea,07-06-1993,4,yes,0.33,42,23:15,Free time,Free time
Artificial Intelligence,no,no,yes,no,male,neither,17-03-1992,6,no,unknown,7.44,01:00,Free time,Free time
Finance,no,no,yes,no,male,neither,17-03-1994,2,no,0.3,6,00:15,Free time,Free time
Computational Science,yes,no,yes,no,male,neither,17-11-xxxx,3,no,1,10,01:00,Free time,Free time
Artificial Intelligence,no,no,yes,yes,female,no idea,11-11-xxxx,1,no,0.75,8,23:15,Fun,Free time
Artificial Intelligence,yes,yes,yes,yes,male,no idea,13-06-1993,420,no,99.99,9,01:00,Fun,Free time
Business Analytics,yes,yes,yes,yes,male,no idea,27-03-xxxx,1,no,100,4,04:00,Sex,Free time
Business Analytics,yes,no,yes,yes,female,neither,19-03-1993,4,no,0.33,9,00:00,Sleep,Free time
Science Business & Innovation,Sl,no,unknown,yes,male,neither,25-02-1994,2,no,0.5,6,23:45,Sleep,Free time
Business Analytics,yes,yes,yes,yes,male,fat,07-10-1994,3,no,80,6,01:00,Sleep,Free time
Artificial Intelligence,yes,yes,yes,yes,male,no idea,31-07-1992,4,no,90,1,02:00,Sleep,Free time
Business Analytics,yes,no,yes,yes,female,fat,13-06-1994,2,no,5,7,23:00,Weather,Free time
Finance,unknown,no,yes,no,male,neither,xx-xx-1994,0,no,50,3,23:00,Weather,Free time
Bioinformatics and Systems Biology,yes,no,no,yes,female,neither,25-12-1994,300,no,20,1,00:00,Weather,Free time
Business Analytics,yes,yes,yes,yes,female,fat,25-05-1995,1,no,50,8,23:00,Weather,Free time
Computational Science,yes,yes,yes,yes,male,neither,09-11-1992,1,no,1,9,01:00,Weather,Free time
Bioinformatics and Systems Biology,yes,no,yes,no,male,fat,10-09-1996,4,no,0.5,2,02:00,Weather,Free time
 Management Policy Analysis and Entrepreneurship,no,no,yes,unknown,male,neither,04-06-1992,4,no,100,4,11:00,Weather,Free time
Artificial Intelligence,yes,yes,yes,no,female,neither,20-08-xxxx,A lot,no,5,2,01:15,Weather,Free time
Computer Science,no,no,yes,yes,male,fat,19-06-xxxx,5,yes,10,9,02:00,Weather,Free time
Artificial Intelligence,no,yes,yes,yes,female,neither,xx-xx-1991,1,no,1,9,03:00,Weather,Free time
Computational Science,no,unknown,no,no,female,fat,02-07-xxxx,7,no,0.1,3,23:00,Weather,Free time
Mathematics,yes,no,unknown,yes,female,neither,01-06-1994,6,no,20,1,23:30,Work,Free time
Econometrics and Operations Research,no,no,no,no,male,fat,23-06-1994,7,no,1,4,11:30,Work,Free time
Econometrics and Operations Research,yes,yes,yes,no,male,fat,23-10-1994,10,no,100,1987,00:35,Work,Free time
Business Analytics,no,no,yes,no,female,neither,18-02-1993,1,no,10,4,23:30,Food,Friends
Artificial Intelligence,no,no,yes,no,male,slim,09-11-xxxx,2,unknown,0.5,6123,23:30,Food,Friends
Bioinformatics and Systems Biology,yes,no,yes,no,male,fat,20-03-1995,2,no,0.25,10,12:20,Food,Friends
Econometrics and Operations Research,no,no,yes,no,female,fat,29-10-1991,1,no,0.25,3,01:20,Food,Friends
Computational Science,yes,yes,yes,yes,male,neither,25-10-1996,1,no,101,4,03:20,Food,Friends
Bioinformatics and Systems Biology,yes,no,yes,no,female,neither,24-10-1993,1,no,0.25,5,01:05,Free time,Friends
Mathematics,no,no,yes,no,female,no idea,24-09-1996,7,no,5,7,23:00,Sleep,Friends
Business Analytics,no,no,yes,no,male,fat,12-10-1994,315,no,1,10,01:00,Sports,Friends
Computational Science,yes,yes,yes,yes,male,slim,26-01-1994,6,unknown,0.25,3,00:45,Weather,Friends
Business Analytics,yes,yes,yes,yes,female,no idea,03-10-xxxx,0,no,25,3,23:00,Weather,Friends
Computational Science,no,no,yes,yes,male,fat,14-05-1994,5,yes,0.25,3,00:00,Weather,Friends
Bioinformatics and Systems Biology,no,no,no,no,female,neither,24-04-1995,2,no,10,10,00:00,Weather,Friends
Mathematics,unknown,no,yes,no,male,neither,05-02-1988,8,no,50,3,23:58,Work,Friends
Econometrics and Operations Research,no,no,yes,no,female,no idea,02-02-xxxx,4,no,1,1,22:30,Coffee,Fun
Business Analytics,yes,no,yes,yes,female,fat,27-09-1992,6,no,2,7,22:10,Food,Fun
Econometrics and Operations Research,no,no,yes,unknown,male,fat,02-09-1993,1,no,0.25,2,00:30,Weather,Fun
Computer Science,no,yes,yes,yes,male,no idea,02-04-1995,6,no,0.25,9,00:00,Weather,Fun
Business Analytics,yes,yes,yes,yes,male,no idea,27-12-1994,400,no,7,5,23:00,Beer,Sex
Business Analytics,yes,yes,yes,yes,male,fat,xx-xx-1995,0,no,0,1,01:00,Food,Sex
Business Analytics,yes,yes,yes,yes,unknown,neither,06-09-1994,1,no,0.25,6,23:30,Free time,Sex
Artificial Intelligence,yes,yes,yes,yes,male,no idea,09-02-1993,6,no,50,9,03:30,Friends,Sex
Bioinformatics and Systems Biology,yes,no,yes,no,female,neither,11-02-1996,1,no,0.25,2,04:40,Coffee,Sleep
Computer Science,no,no,yes,yes,male,fat,21-09-1994,8,unknown,10,4,01:30,Coffee,Sleep
Business Analytics,yes,yes,yes,yes,male,fat,09-03-1996,7,no,1,8,23:05,Coffee,Sleep
Computer Science,yes,yes,yes,yes,male,fat,11-06-1993,10,no,40,8,23:00,Food,Sleep
Econometrics and Operations Research,yes,yes,yes,yes,male,no idea,09-09-1994,1,no,100,7,23:30,Food,Sleep
Artificial Intelligence,no,yes,yes,yes,female,fat,10-01-1995,5,no,100,2,01:00,Food,Sleep
Business Analytics,yes,yes,yes,yes,male,fat,07-05-1994,6,no,0.25,9,00:30,Food,Sleep
PhD,no,no,yes,no,male,neither,01-03-1995,2,no,0.25,7,23:30,Food,Sleep
Computer Science,no,no,yes,yes,male,slim,07-11-xxxx,6,no,100,2,22:00,Food,Sleep
Artificial Intelligence,yes,yes,yes,yes,female,neither,27-06-1995,9,no,0.25,5,01:00,Food,Sleep
Bioinformatics and Systems Biology,yes,no,no,no,male,neither,23-01-1994,6,no,0.25,4,01:30,Free time,Sleep
Physics,no,yes,yes,no,male,neither,04-12-1991,5,no,0.4,10,01:30,Friends,Sleep
Business Analytics,yes,yes,yes,yes,male,slim,24-08-1992,7,no,85,3,00:30,Sex,Sleep
Computer Science,no,yes,yes,no,male,neither,10-04-xxxx,3,no,1,42,22:30,Sleep,Sleep
Econometrics and Operations Research,no,no,yes,no,male,no idea,21-12-xxxx,5,no,1,0,unknown,TV,Sleep
Business Analytics,yes,yes,yes,yes,male,no idea,17-08-xxxx,1,no,10,2,23:00,Weather,Sleep
Finance,no,no,yes,no,male,neither,10-12-1994,49000,no,0.05,7,01:00,Work,Sleep
Business Analytics,yes,yes,yes,yes,female,fat,23-02-1995,5,no,30,9,23:30,Work,Sleep
Artificial Intelligence,yes,yes,yes,yes,male,neither,11-02-1994,7,no,1,3,03:00,Beer,Sports
Computer Science,no,no,yes,yes,male,no idea,29-03-xxxx,3,no,25,7,03:00,Food,Sports
Business Analytics,yes,yes,no,yes,male,neither,25-12-1992,5,no,unknown,6,23:00,Food,Sports
Artificial Intelligence,yes,no,yes,no,male,neither,15-05-1994,5,no,10,32,00:40,Food,Sports
Business Analytics,yes,no,yes,no,male,neither,30-12-1992,300,no,0.3,9,23:30,Free time,Sports
Computer Science,yes,yes,yes,yes,male,fat,01-12-xxxx,5,no,0.4,69,02:30,Sex,Sports
Artificial Intelligence,yes,yes,yes,yes,female,fat,23-02-1995,2,no,0.5,34,23:30,Sleep,Sports
Computational Science,yes,no,yes,yes,female,fat,20-01-xxxx,3,no,0.05,1,01:00,Sleep,Sports
Artificial Intelligence,no,no,yes,no,male,fat,30-12-1990,5,no,50,6,03:00,Sleep,Sports
Business Analytics,yes,no,yes,no,male,fat,07-07-1992,3,no,5,4,01:30,Sleep,Sports
Finance,no,no,yes,yes,male,fat,03-04-1994,5,no,1,5,01:00,Food,TV
Business Analytics,yes,yes,yes,yes,female,no idea,22-01-xxxx,1,yes,100,7,01:30,Sleep,TV
Artificial Intelligence,yes,yes,no,no,male,no idea,26-03-1993,8,yes,1,7,12:30,Work,TV
Artificial Intelligence,yes,no,yes,yes,male,fat,18-08-1994,1,no,20,7,23:00,Coffee,unknown
Computer Science,no,no,no,no,male,slim,22-05-1996,2,unknown,0.37,9,23:16,Food,unknown
Econometrics and Operations Research,no,no,yes,no,male,fat,19-09-1993,4,no,0.33,8,01:30,Food,unknown
Computer Science,no,yes,yes,no,male,fat,11-08-1992,2,no,1,8,01:00,Food,unknown
Econometrics and Operations Research,yes,no,yes,no,male,no idea,02-04-xxxx,2,no,99,187,08:00,Food,unknown
Finance,no,no,yes,no,male,neither,12-09-1996,1,no,0.5,9,01:30,Free time,unknown
Econometrics and Operations Research,no,no,yes,no,male,fat,22-11-1991,3,no,2,2,02:00,Free time,unknown
Econometrics and Operations Research,yes,yes,yes,yes,unknown,no idea,18-05-xxxx,8,unknown,1,3,23:00,Free time,unknown
Artificial Intelligence,no,no,no,yes,male,no idea,30-12-1991,4,no,100,5,23:59,Fun,unknown
Artificial Intelligence,no,yes,yes,no,male,no idea,19-04-1989,7,no,0.25,9,23:45,unknown,unknown
Artificial Intelligence,yes,yes,yes,yes,male,no idea,09-11-xxxx,3,yes,100,6.9,01:00,Sex,unknown
Business Analytics,yes,yes,yes,yes,male,fat,16-10-1994,7,no,100,33,23:15,Sex,unknown
PhD,yes,no,yes,yes,male,fat,02-09-1990,2,no,0.25,3,23:00,Sex,unknown
Business Analytics,yes,yes,yes,yes,male,neither,02-09-1996,1,no,5,1,00:00,Sleep,unknown
Business Analytics,yes,yes,no,yes,male,unknown,05-04-2000,400,unknown,25,7,04:00,unknown,unknown
Artificial Intelligence,no,no,yes,no,male,neither,03-09-1994,4,no,27,8,02:00,unknown,unknown
Business Analytics,yes,yes,yes,yes,male,no idea,01-02-1995,2,no,0,8,00:30,unknown,unknown
Computational Science,yes,no,no,no,male,neither,07-08-xxxx,2,no,0,4,04:30,unknown,unknown
Economics,no,no,yes,no,female,neither,28-03-1995,2,no,0.25,7,23:00,unknown,unknown
Artificial Intelligence,yes,yes,yes,no,male,no idea,29-01-1996,2,no,6,5,02:00,unknown,unknown
Finance,no,no,yes,no,male,neither,24-05-1993,2,no,5,1,01:30,unknown,unknown
Bioinformatics and Systems Biology,yes,no,yes,no,female,neither,05-08-1987,2,no,1,7,00:13,Weather,unknown
Artificial Intelligence,yes,yes,yes,yes,female,no idea,09-09-xxxx,6,no,50,9,23:14,Weather,unknown
Artificial Intelligence,yes,yes,yes,yes,female,no idea,14-01-xxxx,3,no,0.3,347,02:00,Weather,unknown
Econometrics and Operations Research,no,no,yes,no,female,fat,04-04-xxxx,7,no,0,4,11:50,Weather,unknown
Finance,no,no,yes,no,male,fat,28-06-xxxx,5,no,5,7,00:30,Weather,unknown
Computational Science,yes,unknown,yes,yes,male,neither,xx-xx-1990,1,no,80,4,03:00,Work,unknown
Artificial Intelligence,no,no,yes,yes,male,no idea,02-09-1990,4,no,5,7,01:15,Animals,Weather
Artificial Intelligence,no,no,yes,no,female,no idea,05-11-1993,5,no,0.5,6,23:30,Animals,Weather
Finance,no,no,yes,no,male,no idea,03-12-1993,0,no,14,4,03:30,Coffee,Weather
Human Movement Science,no,no,yes,no,female,no idea,28-05-1992,1,no,0.4,8,00:30,Coffee,Weather
Artificial Intelligence,yes,yes,yes,yes,male,fat,02-07-1993,7,no,20,7,01:34,Coffee,Weather
Artificial Intelligence,yes,no,yes,no,male,no idea,25-10-1990,4,no,15,1,23:00,Coffee,Weather
Econometrics and Operations Research,no,no,yes,no,female,no idea,16-05-1990,8,yes,0.003,8,00:00,Coffee,Weather
Business Analytics,yes,yes,yes,yes,female,fat,30-04-1994,6,no,25,8,23:15,Food,Weather
Bioinformatics and Systems Biology,yes,yes,yes,yes,female,neither,21-11-1993,280,no,0.3,1,23:30,Food,Weather
Bioinformatics and Systems Biology,no,no,yes,no,female,fat,05-02-1994,1,no,0.25,7,23:30,Food,Weather
Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,12-04-1994,2,no,0.5,8,00:00,Food,Weather
Artificial Intelligence,no,no,yes,no,male,neither,12-02-1993,3,no,3,7,02:00,Free time,Weather
Artificial Intelligence,yes,yes,yes,no,female,fat,19-05-xxxx,1,no,0.25,22,02:00,Friends,Weather
Artificial Intelligence,no,no,yes,no,female,no idea,16-01-1995,2,no,0.4,7,03:00,Friends,Weather
Business Analytics,yes,yes,yes,yes,male,neither,13-12-1994,4,no,42,7,00:00,Fun,Weather
PhD,no,no,yes,no,female,fat,30-03-xxxx,0,no,1,6,10:30,Sleep,Weather
Business Analytics,yes,no,yes,no,male,neither,04-07-1991,6,no,0.25,8,00:00,Sleep,Weather
Computational Science,no,no,no,no,male,slim,25-12-1991,7,no,0.34,7,02:00,TV,Weather
Computer Science,no,no,yes,yes,male,neither,15-07-1996,10,no,1,6,01:00,unknown,Weather
Finance,no,no,yes,yes,male,no idea,18-03-xxxx,1,no,5,3,00:01,Weather,Weather
Econometrics and Operations Research,no,no,yes,no,male,neither,11-04-1931,2,no,0.25,78952097,01:00,Weather,Weather
Business Analytics,yes,yes,yes,yes,male,no idea,15-02-xxxx,4,no,100,5,01:00,Weather,Weather
Artificial Intelligence,yes,yes,no,yes,female,fat,15-11-xxxx,8,no,50,7,00:25,Weather,Weather
Computational Science,yes,yes,yes,no,male,neither,17-05-1994,6,no,20,7,01:30,Coffee,Work
Bioinformatics and Systems Biology,yes,no,no,no,male,fat,22-09-1988,9,no,1,7,23:59,Food,Work
Computer Science,no,no,yes,yes,male,neither,14-10-1992,1,no,0.25,46371646292,01:48,Food,Work
Business Analytics,yes,yes,yes,yes,male,neither,19-04-xxxx,7,no,0.456,4,01:12,Food,Work
Econometrics and Operations Research,no,no,yes,unknown,female,fat,23-12-1991,1,no,4,7,01:00,Free time,Work
Artificial Intelligence,yes,yes,no,no,male,fat,14-03-1981,20,no,100,1,00:30,Sleep,Work
Artificial Intelligence,yes,no,yes,yes,male,neither,09-07-1994,1,no,1,10,00:00,Sleep,Work
Bioinformatics and Systems Biology,no,no,yes,yes,male,no idea,02-05-1996,7,no,3,3,00:00,Sleep,Work
Computational Science,no,no,yes,no,male,no idea,18-02-1994,7,no,10,75389275660,23:30,Sports,Work
Computational Science,yes,no,yes,yes,female,fat,12-07-1990,7,yes,2,2,01:15,Sports,Work
Bioinformatics and Systems Biology,no,no,yes,yes,male,slim,05-02-1990,25,no,100,5,02:00,unknown,Work
Artificial Intelligence,no,no,unknown,unknown,female,neither,20-05-1993,7,unknown,0,88,22:47,Weather,Work
Computer Science,no,no,unknown,yes,male,no idea,06-08-1993,100,yes,unknown,394749,01:00,Work,Work
Computer Science,yes,no,yes,yes,male,neither,18-09-xxxx,10,no,100,7,02:00,Work,Work
