Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,Money,Random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4/5/2018 11:27:52,Artificial Intelligence,no,no,yes,no,male,neither,07-03-1995,6,no,0.25,6,23:45,Fun,Good food
4/5/2018 11:27:39,Bioinformatics and Systems Biology,yes,no,no,no,female,slim,20-02-1995,2,no,5,33,00:00,Good sleep,Good food
4/5/2018 11:27:27,Computer Science,no,no,yes,yes,male,neither,15-07-1996,10,no,1,6,01:00,People minding their own business,Good weather
4/5/2018 11:28:12,Business Analytics,yes,no,yes,no,male,fat,01-09-1994,3,yes,200,1,00:00,Food,No college
4/5/2018 11:28:18,Bioinformatics and Systems Biology,no,no,yes,yes,male,no idea,02-05-1996,7,no,3,3,00:00,Good sleep,No compile errors on first try
4/5/2018 11:27:40,Bioinformatics and Systems Biology,yes,no,yes,no,male,fat,10-09-1996,4,no,0.5,2,02:00,Good weather,No lectures
4/5/2018 11:28:15,Computational Science,yes,no,yes,no,male,no idea,07-06-1993,4,yes,0.33,42,23:15,No early lecture,No lectures
4/5/2018 11:27:45,"Management, Policy Analysis and Entrepreneurship",no,no,yes,no,male,neither,04-06-1992,4,no,100,4,11:00,Good weather,Free time
4/5/2018 11:28:23,Computational Science,yes,unknown,yes,yes,male,neither,xx-xx-1990,1,no,80,4,03:00,Productive,No pain
4/5/2018 11:27:19,Artificial Intelligence,yes,yes,yes,no,female,neither,20-08-xxxx,A lot,no,5,2,01:15,Good weather,No school
4/5/2018 11:27:54,Computer Science,no,no,yes,yes,female,no idea,12-10-1991,A lot ,no,100,3,03:00,Good food,No stress
4/5/2018 11:27:38,Computer Science,no,no,yes,yes,male,fat,19-06-xxxx,5,yes,10,9,02:00,Good weather,No stress
4/5/2018 11:27:33,Artificial Intelligence,no,no,yes,yes,female,no idea,11-11-xxxx,1,no,0.75,8,23:15,Laughing,No stress
4/5/2018 11:26:40,Bioinformatics and Systems Biology,no,no,yes,no,female,fat,05-02-1994,1,no,0.25,7,23:30,Pancakes for breakfast,No wind
4/5/2018 11:27:40,Artificial Intelligence,no,yes,yes,yes,female,neither,xx-xx-1991,1,no,1,9,03:00,Good weather,No work appointments
4/5/2018 11:27:35,Business Analytics,yes,yes,yes,yes,male,no idea,27-03-xxxx,1,no,100,4,04:00,Sex,No worries
4/5/2018 11:28:01,Econometrics and Operations Research,yes,yes,yes,yes,unknown,no idea,18-05-xxxx,8,unknown,1,3,23:00,Free time,Not it being bad
4/5/2018 11:27:32,Computational Science,no,unknown,no,no,female,fat,02-07-xxxx,7,no,0.1,3,23:00,Good weather,Not studying
4/5/2018 11:27:58,Mathematics,yes,no,unknown,yes,female,neither,01-06-1994,6,no,20,1,23:30,Things to do,Free time
4/5/2018 11:27:50,Econometrics and Operations Research,no,no,no,no,male,fat,23-06-1994,7,no,1,4,11:30,Success,Free time
4/5/2018 11:27:27,Artificial Intelligence,yes,no,yes,yes,male,no idea,30-01-1995,8,no,0.001,9,23:00,Coffee,Pizza
4/5/2018 11:27:32,Artificial Intelligence,no,yes,yes,unknown,female,no idea,28-01-xxxx,1,no,1,7,23:03,Good weather,Pizza
4/5/2018 11:27:04,Computational Science,no,no,yes,no,male,no idea,04-01-1996,7,unknown,0.25,6283949577437360000000000000000000000,23:59,Pancakes,Pizza
4/5/2018 11:27:36,Computer Science,no,no,yes,yes,male,slim,07-11-xxxx,6,no,100,2,22:00,Plenty food,Good sleep
4/5/2018 11:27:51,Computational Science,yes,no,yes,yes,female,fat,12-07-1990,7,yes,2,2,01:15,Dance,Productive
4/5/2018 11:28:04,Econometrics and Operations Research,no,no,yes,unknown,female,fat,23-12-1991,1,no,4,7,01:00,Free time,Productive
4/5/2018 11:25:36,Econometrics and Operations Research,no,no,yes,no,male,neither,11-04-1931,2,no,0.25,78952097,01:00,Good weather,Rain
4/5/2018 18:04:54,Business Analytics,yes,yes,yes,yes,male,fat,07-10-1994,3,no,80,6,01:00,Sleep,Relaxation
4/5/2018 11:27:48,Econometrics and Operations Research,yes,yes,yes,no,male,fat,23-10-1994,10,no,100,1987,00:35,Achievement,Relaxation
4/5/2018 11:24:34,Drug Discovery and Safety,no,no,yes,no,male,fat,17-08-1994,4,no,100,unknown,09:00,Chocolate,Relaxation
4/5/2018 11:27:20,Artificial Intelligence,yes,yes,yes,yes,male,no idea,13-06-1993,420,no,99.99,9,01:00,Fun,Relaxation
4/5/2018 11:27:26,Econometrics and Operations Research,no,no,yes,no,female,fat,04-04-xxxx,7,no,0,4,11:50,Good weather,Sea
4/5/2018 11:28:02,Computational Science,yes,yes,yes,yes,male,neither,25-10-1996,1,no,101,4,03:20,Pizza,Seeing you
4/5/2018 11:27:21,Business Analytics,yes,yes,yes,yes,male,no idea,27-12-1994,400,no,7,5,23:00,Beer,Sex
4/5/2018 11:29:27,Artificial Intelligence,yes,yes,yes,yes,male,no idea,09-02-1993,6,no,50,9,03:30,Hanging out,Sex
4/5/2018 11:27:50,Business Analytics,yes,yes,yes,yes,unknown,neither,06-09-1994,1,no,0.25,6,23:30,No school/work,Sex
4/5/2018 11:27:35,Artificial Intelligence,yes,yes,yes,yes,female,neither,27-06-1995,9,no,0.25,5,01:00,Food,Sleep
4/5/2018 11:27:32,Econometrics and Operations Research,no,no,yes,no,male,no idea,21-12-xxxx,5,no,1,0,unknown,Fox news,Sleep
4/5/2018 11:27:38,Business Analytics,yes,yes,yes,yes,male,no idea,17-08-xxxx,1,no,10,2,23:00,Good weather,Sleep
4/5/2018 11:28:14,Business Analytics,yes,yes,yes,yes,female,fat,23-02-1995,5,no,30,9,23:30,Good grade,Sleep well
4/5/2018 11:27:56,Bioinformatics and Systems Biology,yes,no,no,no,male,neither,23-01-1994,6,no,0.25,4,01:30,No responsibilities,Sleeping in
4/5/2018 11:28:02,Artificial Intelligence,yes,yes,yes,yes,male,neither,11-02-1994,7,no,1,3,03:00,Beer,Sport
4/5/2018 11:23:06,Business Analytics,yes,yes,no,yes,male,neither,25-12-1992,5,no,unknown,6,23:00,Food,Sport
4/5/2018 11:27:28,Computational Science,yes,no,yes,yes,female,fat,20-01-xxxx,3,no,0.05,1,01:00,Good sleep,Sport
4/5/2018 11:27:21,Artificial Intelligence,yes,no,yes,no,male,neither,15-05-1994,5,no,10,32,00:40,Food,Sports
4/5/2018 11:28:29,Artificial Intelligence,no,no,yes,no,male,fat,30-12-1990,5,no,50,6,03:00,Good sleep,Sports
4/5/2018 11:28:09,Business Analytics,yes,no,yes,no,male,fat,07-07-1992,3,no,5,4,01:30,Sleep,Sports
4/5/2018 11:27:53,Artificial Intelligence,yes,yes,yes,yes,male,no idea,31-07-1992,4,no,90,1,02:00,Sleep,Staying up late
4/5/2018 11:27:36,Bioinformatics and Systems Biology,yes,no,yes,no,female,fat,12-04-1994,2,no,0.5,8,00:00,Food,Good weather
4/5/2018 11:27:15,Business Analytics,yes,yes,yes,yes,male,no idea,15-02-xxxx,4,no,100,5,01:00,Good weather,Good weather
4/5/2018 11:27:44,Artificial Intelligence,yes,yes,no,yes,female,fat,15-11-xxxx,8,no,50,7,00:25,Good weather ,Good weather
4/5/2018 11:27:46,Artificial Intelligence,yes,yes,yes,no,female,fat,19-05-xxxx,1,no,0.25,22,02:00,Seeing friends,Good weather
4/5/2018 11:28:42,Computational Science,no,no,no,no,male,slim,25-12-1991,7,no,0.34,7,02:00,Temptation Island,Good weather
4/5/2018 11:27:26,Business Analytics,yes,yes,yes,yes,male,neither,13-12-1994,4,no,42,7,00:00,Laughing,Good weather
4/5/2018 11:27:39,Artificial Intelligence,no,no,yes,no,male,neither,17-03-1992,6,no,unknown,7.44,01:00,Saturday,Sunday
4/5/2018 11:27:28,Finance,no,no,yes,no,male,neither,17-03-1994,2,no,0.3,6,00:15,Saturday,Sunday
4/5/2018 11:25:54,Econometrics and Operations Research,no,no,yes,no,female,no idea,16-05-1990,8,yes,0.003,8,00:00,Good coffee,Good weather
4/5/2018 11:27:36,PhD,no,no,yes,no,female,fat,30-03-xxxx,0,no,1,6,10:30,Good sleep,Good weather
4/5/2018 11:27:08,Artificial Intelligence,no,no,yes,no,female,no idea,05-11-1993,5,no,0.5,6,23:30,Puppies,Good weather
4/5/2018 11:27:31,Artificial Intelligence,yes,yes,yes,yes,male,fat,23-01-xxxx,9,no,101,unknown,01:00,Not coming to VU,Sushi
4/5/2018 11:28:04,Bioinformatics and Systems Biology,yes,no,yes,no,female,no idea,13-06-1993,4,no,5,3,02:00,Not having to get up early,Sushi
4/5/2018 13:15:17,Artificial Intelligence,yes,yes,yes,no,male,fat,30-07-1992,8,no,11,2,04:00,Good company,Beer
4/5/2018 11:23:50,Business Analytics,yes,yes,yes,yes,male,no idea,01-02-1995,2,no,0,8,00:30,unknown,unknown
4/5/2018 11:28:30,Computational Science,yes,no,no,no,male,neither,07-08-xxxx,2,no,0,4,04:30,unknown,unknown
4/5/2018 11:28:00,Economics,no,no,yes,no,female,neither,28-03-1995,2,no,0.25,7,23:00,unknown,unknown
4/5/2018 11:27:21,Artificial Intelligence,yes,yes,yes,no,male,no idea,29-01-1996,2,no,6,5,02:00,unknown,unknown
4/5/2018 11:27:51,Finance,no,no,yes,no,male,neither,24-05-1993,2,no,5,1,01:30,unknown,unknown
4/5/2018 11:27:35,PhD,yes,no,yes,yes,male,fat,02-09-1990,2,no,0.25,3,23:00,Sex,Video games
4/5/2018 11:27:30,Business Analytics,yes,yes,yes,yes,male,fat,09-03-1996,7,no,1,8,23:05,Coffee,Wake-up time
4/5/2018 11:27:44,Artificial Intelligence,yes,yes,no,no,male,no idea,26-03-1993,8,yes,1,7,12:30,Productive,Watch a movie
4/5/2018 11:27:50,Artificial Intelligence,no,no,yes,no,female,no idea,16-01-1995,2,no,0.4,7,03:00,Friends,Weather
4/5/2018 11:27:58,Business Analytics,yes,no,yes,no,male,neither,04-07-1991,6,no,0.25,8,00:00,Sleep,Weather
4/5/2018 11:28:11,Computational Science,yes,no,yes,no,male,neither,17-11-xxxx,3,no,1,10,01:00,Afternoon lectures,Weekend
4/5/2018 15:09:53,Physics,no,yes,yes,no,male,neither,04-12-1991,5,no,0.4,10,01:30,Good company,Well rested and structured
4/5/2018 11:26:39,Econometrics and Operations Research,yes,no,yes,no,male,no idea,02-04-xxxx,2,no,99,187,08:00,Food,Wine
